product_id,product_name,category,brand,price,rating,reviews,discount_percent
1,Apple Product 1,Sports,Apple,3478,4.4,2011,28
2,Apple Product 2,Fashion,Apple,71682,2.7,3461,4
3,Apple Product 3,Electronics,Apple,28857,3.1,4936,3
4,Adidas Product 4,Beauty,Adidas,71626,3.5,3684,35
5,Nike Product 5,Electronics,Nike,55592,3.4,1278,27
6,Apple Product 6,Home & Kitchen,Apple,12356,3.4,2945,44
7,Puma Product 7,Beauty,Puma,5895,4.3,4397,15
8,Apple Product 8,Books,Apple,72557,3.2,2967,24
9,Apple Product 9,Sports,Apple,6206,4.2,2375,10
10,Apple Product 10,Fashion,Apple,50023,3.2,2993,20
11,Philips Product 11,Home & Kitchen,Philips,27660,4.2,589,21
12,Adidas Product 12,Beauty,Adidas,21617,3.7,2216,28
13,Philips Product 13,Sports,Philips,7531,3.1,267,40
14,Puma Product 14,Books,Puma,8875,3.0,4651,40
15,Boat Product 15,Fashion,Boat,52056,4.7,3763,18
16,Nike Product 16,Home & Kitchen,Nike,32525,4.4,4420,33
17,Lenovo Product 17,Sports,Lenovo,56355,4.7,3276,46
18,Nike Product 18,Fashion,Nike,66984,3.7,390,14
19,Nike Product 19,Fashion,Nike,55533,4.0,3157,48
20,Boat Product 20,Beauty,Boat,69552,3.1,4537,1
21,Apple Product 21,Sports,Apple,70581,4.4,2791,14
22,Sony Product 22,Home & Kitchen,Sony,20930,3.6,2162,64
23,LG Product 23,Fashion,LG,14147,4.7,2449,64
24,Adidas Product 24,Beauty,Adidas,20232,3.4,1328,69
25,Samsung Product 25,Beauty,Samsung,78704,3.3,164,14
26,Puma Product 26,Home & Kitchen,Puma,31585,2.6,4652,10
27,Boat Product 27,Electronics,Boat,9271,4.9,4368,16
28,Boat Product 28,Fashion,Boat,72263,2.9,4327,54
29,LG Product 29,Fashion,LG,26565,4.3,3273,47
30,LG Product 30,Books,LG,59377,2.8,1845,8
31,Samsung Product 31,Home & Kitchen,Samsung,77310,3.9,4825,28
32,Apple Product 32,Electronics,Apple,7916,3.1,262,42
33,LG Product 33,Electronics,LG,31395,3.2,3981,27
34,Nike Product 34,Beauty,Nike,75047,3.9,1995,60
35,Adidas Product 35,Books,Adidas,12563,2.7,3536,45
36,Sony Product 36,Books,Sony,61413,4.7,448,12
37,Sony Product 37,Electronics,Sony,44673,4.5,900,31
38,Adidas Product 38,Fashion,Adidas,70492,3.6,3461,23
39,Boat Product 39,Home & Kitchen,Boat,32942,4.7,622,56
40,Apple Product 40,Beauty,Apple,6830,4.1,4433,1
41,Adidas Product 41,Electronics,Adidas,21998,3.5,3948,27
42,Samsung Product 42,Books,Samsung,21779,3.4,3203,33
43,Puma Product 43,Books,Puma,55644,4.2,4557,62
44,Adidas Product 44,Fashion,Adidas,39090,3.0,484,69
45,Philips Product 45,Electronics,Philips,7692,2.6,3910,64
46,Nike Product 46,Beauty,Nike,7655,4.9,661,23
47,Lenovo Product 47,Electronics,Lenovo,9107,4.2,1931,51
48,Lenovo Product 48,Electronics,Lenovo,32471,3.9,330,10
49,Lenovo Product 49,Books,Lenovo,74285,3.8,2141,26
50,Philips Product 50,Sports,Philips,31485,3.2,1077,38
51,Philips Product 51,Books,Philips,9708,2.5,4617,12
52,LG Product 52,Electronics,LG,28138,3.8,1090,44
53,Adidas Product 53,Electronics,Adidas,48634,3.2,3594,69
54,Puma Product 54,Sports,Puma,69529,2.5,4548,38
55,Apple Product 55,Sports,Apple,17801,3.2,881,70
56,Puma Product 56,Fashion,Puma,37130,4.0,2813,26
57,Puma Product 57,Sports,Puma,66444,3.7,421,11
58,Sony Product 58,Sports,Sony,36465,2.6,2737,16
59,Puma Product 59,Sports,Puma,21378,4.4,4524,54
60,Samsung Product 60,Beauty,Samsung,14863,2.7,1226,69
61,Philips Product 61,Electronics,Philips,76550,3.9,3525,16
62,Puma Product 62,Electronics,Puma,47995,4.7,331,45
63,Adidas Product 63,Fashion,Adidas,13673,3.4,4591,52
64,Nike Product 64,Beauty,Nike,31229,4.7,1455,52
65,Nike Product 65,Electronics,Nike,43740,4.5,3377,31
66,Nike Product 66,Home & Kitchen,Nike,14368,3.5,322,60
67,Adidas Product 67,Fashion,Adidas,60532,3.4,1869,28
68,Adidas Product 68,Electronics,Adidas,52427,3.3,573,35
69,LG Product 69,Home & Kitchen,LG,52586,4.2,4397,42
70,Apple Product 70,Electronics,Apple,34437,2.9,2179,4
71,Lenovo Product 71,Electronics,Lenovo,57159,3.4,2574,55
72,LG Product 72,Beauty,LG,15357,3.5,4728,24
73,Samsung Product 73,Home & Kitchen,Samsung,57354,2.5,4415,25
74,Sony Product 74,Home & Kitchen,Sony,9371,4.9,2709,40
75,Apple Product 75,Sports,Apple,39563,3.8,3350,41
